Field=Designator~String~Designator~73|Field=LibRef~String~LibRef~115|Field=Description~String~Description~282|Field=Quantity~Integer~Quantity~280|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MIDI_USB.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\MIDI_USB\MIDI_USB.PrjPcb|ReportField=Title~BOM_PartType For Project [MIDI_USB.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~270|ReportField=ReportTime~12:44:54|ReportField=ReportDate~05/03/2022|ReportField=ReportDateTime~05/03/2022 12:44:54|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.00|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-3|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=A3 (Scaled)|PaperIndex=8|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MIDI_USB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\MIDI_USB\MIDI_USB.PrjPcb
Q1|MMBT3904,215|Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 250mW Surface Mount TO-236AB|1
Q2|MMBT3904,215|Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 250mW Surface Mount TO-236AB|1
Q3|MMBT3904,215|Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 250mW Surface Mount TO-236AB|1
R1|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R2|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R3|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R4|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R5|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R6|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R7|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R8|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R9|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R10|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R11|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R12|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R13|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R14|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R15|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R16|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R17|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R18|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R19|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R20|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R21|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R22|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R23|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R24|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R25|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
